Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,3.5,"71.0%
77/273
General Chemical Engineering",1236,353,69,1.787,1.014,Elsevier,03645916
Complex Adaptive Systems Modeling,3.5,"83.0%
78/482
Applied Mathematics",152,43,79,0.96,N/A,Springer Nature,00000000
Computational Particle Mechanics,3.5,"86.0%
8/54
Numerical Analysis",514,147,73,1.397,0.86,Springer Nature,21964378
Computer Science Education,3.5,"89.0%
126/1179
Education",202,58,57,1.41,0.415,Taylor & Francis,08993408
Computers and Mathematics with Applications,3.5,"81.0%
28/150
Computational Mathematics",5315,1535,65,1.265,0.999,Elsevier,08981221
Construction Innovation,3.5,"93.0%
8/117
Architecture",353,100,70,0.791,0.707,Emerald,14714175
Engineering Applications of Computational Fluid Mechanics,3.5,"79.0%
56/273
Modeling and Simulation",615,175,79,1.72,0.576,Taylor & Francis,19942060
Fractals,3.5,"96.0%
3/79
Geometry and Topology",1115,316,65,1.293,0.556,World Scientific,0218348X
Frontiers in Neurorobotics,3.5,"65.0%
68/195
Artificial Intelligence",525,149,58,1.379,0.603,Frontiers Media S.A.,16625218
IEEE Multimedia,3.5,"87.0%
9/70
Media Technology",608,172,62,1.307,0.335,IEEE,1070986X
IMA Journal of Numerical Analysis,3.5,"92.0%
27/344
General Mathematics",865,246,75,1.594,1.757,Oxford University Press,02724979
Information Technology and People,3.5,"88.0%
25/219
Library and Information Sciences",591,167,62,0.983,0.83,Emerald,09593845
International Biomechanics,3.5,"82.0%
21/115
Rehabilitation",112,32,56,0.848,0.573,Taylor & Francis,00000000
International Journal of Human-Computer Interaction,3.5,"74.0%
10/37
Human Factors and Ergonomics",1063,304,74,1.28,0.514,Taylor & Francis,10447318
International Journal of Information Technology and Decision Making,3.5,"73.0%
16/58
Computer Science (miscellaneous)",821,235,61,1.061,0.552,World Scientific,02196220
