Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,36.7,"99.0%
1/364
Software",81519,2221,79,23.685,8.073,,10636919
Journal of Statistical Software,35.5,"99.0%
1/223
Statistics and Probability",11841,334,71,14.073,17.569,University of California Press,15487660
Physics of Life Reviews,31.9,"99.0%
1/196
General Agricultural and Biological Sciences",1339,42,100,4.704,2.691,Elsevier,15710645
Proceedings of the IEEE International Conference on Computer Vision,26.6,"99.0%
3/364
Software",33950,1278,94,10.02,4.81,,00000000
IEEE Transactions on Pattern Analysis and Machine Intelligence,25.6,"99.0%
1/482
Applied Mathematics",20347,796,91,9.977,3.764,IEEE,01628828
International Journal of Computer Vision,24.1,"98.0%
5/364
Software",8024,333,85,8.468,3.595,Springer Nature,09205691
Foundations and Trends in Communications and Information Theory,21.6,"99.0%
1/295
Computer Networks and Communications",151,7,86,2.482,2.75,Now Publishers Inc.,15672190
Foundations and Trends in Machine Learning,20.9,"99.0%
1/101
Human-Computer Interaction",272,13,77,9.115,5.002,Now Publishers Inc.,19358237
IEEE Communications Magazine,19.3,"99.0%
1/590
Computer Science Applications",24145,1249,83,4.903,2.373,IEEE,01636804
IEEE Transactions on Evolutionary Computation,19.1,"99.0%
1/118
Theoretical Computer Science",4713,247,94,4.944,2.968,IEEE,1089778X
Information Fusion,18,"99.0%
1/287
Information Systems",5494,306,96,4.465,2.238,Elsevier,15662535
IEEE Transactions on Cybernetics,17.7,"99.0%
1/239
Control and Systems Engineering",20165,1138,93,3.634,3.548,IEEE,21682267
IEEE Wireless Communications,17.4,"99.0%
3/590
Computer Science Applications",7517,433,84,4.212,2.352,IEEE,15361284
Wiley Interdisciplinary Reviews: Computational Molecular Science,17.3,"99.0%
1/150
Computational Mathematics",2298,133,98,2.528,3.025,Wiley-Blackwell,17590876
Acta Numerica,17.2,"99.0%
1/344
General Mathematics",361,21,86,7.612,4.843,Cambridge University Press,09624929
Proceedings of the IEEE,16.8,"98.0%
9/669
Electrical and Electronic Engineering",9791,584,81,4.889,1.593,IEEE,00189219
Foundations and Trends in Computer Graphics and Vision,16.7,"94.0%
5/81
Computer Vision and Pattern Recognition",100,6,83,6.848,3.441,World Scientific,15722740
IEEE Journal on Selected Areas in Communications,16.5,"99.0%
3/295
Computer Networks and Communications",15289,924,89,3.461,2.294,IEEE,07338716
ACM Computing Surveys,15.8,"99.0%
1/211
General Computer Science",5898,374,88,5.916,1.503,ACM,03600300
MIS Quarterly: Management Information Systems,15.6,"99.0%
1/108
Information Systems and Management",3174,204,82,3.824,4.212,University of Minnesota,02767783
npj Quantum Information,15.5,"99.0%
1/58
Computer Science (miscellaneous)",946,61,93,2.595,3.929,Springer Nature,00000000
IEEE Network,14.8,"99.0%
2/153
Hardware and Architecture",5013,338,88,3.413,1.771,IEEE,08908044
IEEE Transactions on Neural Networks and Learning Systems,14.8,"99.0%
6/590
Computer Science Applications",19115,1290,85,4.217,3.658,IEEE,2162237X
Internet and Higher Education,14.5,"99.0%
2/1179
Education",1786,123,86,5.097,3.307,Elsevier,10967516
Molecular Systems Biology,14.5,"99.0%
3/482
Applied Mathematics",3178,219,89,1.919,7.04,Wiley-Blackwell,17444292
IEEE Transactions on Fuzzy Systems,14.3,"99.0%
4/482
Applied Mathematics",10942,767,86,3.421,2.794,IEEE,10636706
IEEE Transactions on Smart Grid,13.8,"99.0%
2/211
General Computer Science",21243,1538,89,3.645,3.361,IEEE,19493053
IEEE Signal Processing Magazine,13.4,"99.0%
5/482
Applied Mathematics",4006,298,74,4.582,1.364,IEEE,10535888
Neural Networks,13.3,"97.0%
3/94
Cognitive Neuroscience",8701,653,78,3.865,1.97,Elsevier,08936080
Foundations and Trends in Theoretical Computer Science,13,"97.0%
3/118
Theoretical Computer Science",104,8,88,6.742,1.524,Now Publishers Inc.,1551305X
IEEE Transactions on Information Forensics and Security,13,"99.0%
1/158
Safety, Risk, Reliability and Quality",11627,896,87,3.741,1.364,IEEE,15566013
IEEE Transactions on Image Processing,12.8,"99.0%
1/77
Computer Graphics and Computer-Aided Design",23281,1814,85,4.285,1.809,IEEE,10577149
IEEE Transactions on Robotics,12.7,"98.0%
8/590
Computer Science Applications",6092,478,84,4.161,1.987,IEEE,15523098
SIAM Review,12.6,"99.0%
2/150
Computational Mathematics",1195,95,76,6.222,2.526,Society for Industrial and Applied Mathematics,00361445
Foundations and Trends in Information Retrieval,12.5,"98.0%
6/287
Information Systems",187,15,93,5.693,1.044,Now Publishers Inc.,15540669
Journal of Information Technology,12.5,"99.0%
1/219
Library and Information Sciences",1123,90,89,3.727,2.115,Springer Nature,02683962
Virtual and Physical Prototyping,12.5,"99.0%
1/273
Modeling and Simulation",1364,109,88,2.593,2.144,Taylor & Francis,17452759
IEEE Transactions on Medical Imaging,12.2,"98.0%
1/47
Radiological and Ultrasound Technology",11103,911,84,3.544,2.188,IEEE,02780062
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",12.2,"98.0%
10/590
Computer Science Applications",9237,759,92,2.686,2.147,IEEE,21682216
International Journal of Robotics Research,12.2,"99.0%
2/273
Modeling and Simulation",3952,323,81,3.673,2.189,SAGE,02783649
Journal of Service Research,12.2,"99.0%
3/1218
Sociology and Political Science",1368,112,83,2.802,3.34,SAGE,10946705
"Genomics, Proteomics and Bioinformatics",12.1,"98.0%
3/150
Computational Mathematics",1930,159,79,1.872,3.599,Elsevier,16720229
Medical Image Analysis,12.1,"99.0%
1/67
Health Informatics",5425,447,81,3.808,2.452,Elsevier,13618415
International Journal of Information Management,11.6,"99.0%
2/219
Library and Information Sciences",4644,400,86,3.534,1.711,Elsevier,02684012
IEEE Transactions on Wireless Communications,11.5,"98.0%
8/482
Applied Mathematics",27407,2373,83,2.592,1.692,IEEE,15361276
NPG Asia Materials,11.4,"99.0%
3/273
Modeling and Simulation",3341,292,84,1.589,2.87,Springer Nature,18844049
ACM Transactions on Graphics,11.1,"95.0%
4/77
Computer Graphics and Computer-Aided Design",10187,920,83,3.429,2.272,ACM,07300301
Journal of Computer-Mediated Communication,11.1,"98.0%
12/590
Computer Science Applications",1204,108,81,3.246,3.311,Wiley-Blackwell,10836101
Big Data Research,11,"98.0%
2/108
Information Systems and Management",1023,93,69,3.525,0.984,Elsevier,22145796
Computers and Education,11,"99.0%
3/1179
Education",8315,755,84,4.091,2.323,Elsevier,03601315
Science Robotics,11,"99.0%
1/97
Control and Optimization",1041,95,77,4.945,N/A,American Association for the Advancement of Science,00000000
IEEE Transactions on Services Computing,10.9,"98.0%
3/153
Hardware and Architecture",3076,281,88,3.203,0.973,IEEE,19391374
IEEE Transactions on Intelligent Transportation Systems,10.8,"99.0%
1/88
Automotive Engineering",13385,1240,87,3.632,1.412,IEEE,15249050
SoftwareX,10.8,"97.0%
16/590
Computer Science Applications",1877,173,51,5.206,4.539,Elsevier,00000000
Journal of Strategic Information Systems,10.7,"96.0%
10/287
Information Systems",751,70,91,2.422,1.432,Elsevier,09638687
Computer Science Review,10.6,"97.0%
5/211
General Computer Science",625,59,85,6,1.431,Elsevier,15740137
IEEE Transactions on Software Engineering,10.6,"95.0%
17/364
Software",2515,238,87,4.159,0.732,IEEE,00985589
ISPRS Journal of Photogrammetry and Remote Sensing,10.6,"99.0%
1/56
Engineering (miscellaneous)",8169,772,84,3.205,2.979,Elsevier,09242716
Journal of Big Data,10.6,"97.0%
4/153
Hardware and Architecture",1627,153,65,4.512,1.124,Springer Nature,00000000
Archives of Computational Methods in Engineering,10.5,"98.0%
9/482
Applied Mathematics",1223,117,87,3.601,1.978,Springer Nature,11343060
IEEE Journal on Selected Topics in Signal Processing,10.4,"96.0%
4/101
Signal Processing",4789,460,79,2.657,1.404,IEEE,19324553
Information Sciences,10.4,"96.0%
8/239
Control and Systems Engineering",28605,2754,85,2.744,1.62,Elsevier,00200255
Pattern Recognition,10.4,"95.0%
5/101
Signal Processing",14811,1431,88,3.211,1.363,Elsevier,00313203
IEEE Transactions on Affective Computing,10.3,"96.0%
4/101
Human-Computer Interaction",1575,153,88,3.486,1.014,IEEE,19493045
Expert Systems with Applications,10.2,"98.0%
4/283
General Engineering",27075,2649,87,2.862,1.19,Elsevier,09574174
IEEE Transactions on Automatic Control,10.2,"96.0%
9/239
Control and Systems Engineering",19575,1921,84,2.641,3.233,IEEE,00189286
Information Systems Journal,10.2,"95.0%
13/287
Information Systems",1169,115,97,2.492,2.319,Wiley-Blackwell,13501917
Nature Biomedical Engineering,10.2,"96.0%
24/590
Computer Science Applications",1782,175,78,3.503,4.974,Springer Nature,00000000
Semantic Web,10.2,"96.0%
21/590
Computer Science Applications",1648,161,88,4.922,1.753,IOS Press,15700844
Journal of the American Mathematical Society,10.1,"99.0%
2/344
General Mathematics",1017,101,93,4.732,9.864,American Mathematical Society,08940347
Knowledge-Based Systems,10.1,"95.0%
5/98
Management Information Systems",15084,1495,84,2.757,1.46,Elsevier,09507051
Computer-Aided Civil and Infrastructure Engineering,10,"99.0%
1/300
Civil and Structural Engineering",2478,248,86,2.313,1.374,Wiley-Blackwell,10939687
IEEE Transactions on Industrial Informatics,10,"96.0%
10/239
Control and Systems Engineering",12541,1249,85,3.014,1.678,IEEE,15513203
IEEE Computational Intelligence Magazine,9.9,"94.0%
7/118
Theoretical Computer Science",983,99,65,3.311,1.132,IEEE,1556603X
IEEE Transactions on Signal Processing,9.8,"94.0%
36/669
Electrical and Electronic Engineering",18653,1910,83,2.632,1.477,IEEE,1053587X
Bioinformatics,9.7,"99.0%
2/223
Statistics and Probability",31141,3222,78,1.908,4.549,Oxford University Press,13674803
User Modeling and User-Adapted Interaction,9.7,"99.0%
5/1179
Education",464,48,90,3.544,0.907,Springer Nature,09241868
IEEE/ASME Transactions on Mechatronics,9.6,"95.0%
11/239
Control and Systems Engineering",11000,1145,84,2.465,1.686,IEEE,10834435
Transportation Research Part C: Emerging Technologies,9.6,"99.0%
2/300
Civil and Structural Engineering",9945,1041,86,3.179,2.611,Elsevier,0968090X
Briefings in Bioinformatics,9.5,"93.0%
18/287
Information Systems",3139,332,87,1.512,2.748,Oxford University Press,14675463
European Journal of Information Systems,9.5,"98.0%
4/219
Library and Information Sciences",1260,132,89,2.319,2.036,Taylor & Francis,0960085X
IEEE Transactions on Knowledge and Data Engineering,9.5,"94.0%
7/122
Computational Theory and Mathematics",8114,854,86,3.122,1.14,IEEE,10414347
Information and Management,9.5,"94.0%
6/98
Management Information Systems",2980,315,85,2.518,1.727,Elsevier,03787206
Journal of Chemical Theory and Computation,9.5,"94.0%
31/590
Computer Science Applications",21308,2238,86,1.585,2.236,American Chemical Society,15499618
Journal of Network and Computer Applications,9.5,"97.0%
5/153
Hardware and Architecture",8749,924,83,2.604,0.903,Elsevier,10848045
Web Semantics,9.5,"95.0%
15/295
Computer Networks and Communications",1057,111,85,3.72,0.992,Elsevier,15708268
Computers in Human Behavior,9.4,"99.0%
2/283
Arts and Humanities (miscellaneous)",24961,2653,88,2.418,1.711,Elsevier,07475632
IEEE Internet of Things Journal,9.4,"96.0%
6/153
Hardware and Architecture",7912,840,77,4.174,1.396,IEEE,23274662
IEEE Transactions on Dependable and Secure Computing,9.3,"93.0%
45/669
Electrical and Electronic Engineering",2244,241,82,3.07,0.898,IEEE,15455971
IEEE Transactions on Multimedia,9.3,"99.0%
1/70
Media Technology",8013,862,83,3.016,1.222,IEEE,15209210
IEEE Transactions on Parallel and Distributed Systems,9.3,"95.0%
7/153
Hardware and Architecture",9528,1022,83,2.608,0.875,IEEE,10459219
International Journal of Neural Systems,9.3,"94.0%
18/295
Computer Networks and Communications",1772,191,83,1.862,1.32,World Scientific,01290657
IEEE Journal of Biomedical and Health Informatics,9.2,"93.0%
36/590
Computer Science Applications",6872,748,84,2.524,1.122,IEEE,21682194
Journal of Field Robotics,9.2,"94.0%
13/239
Control and Systems Engineering",2163,236,81,2.933,1.437,Wiley-Blackwell,15564959
Mechanical Systems and Signal Processing,9.1,"99.0%
3/300
Civil and Structural Engineering",16811,1843,88,2.842,1.821,Elsevier,08883270
Annals of Mathematics,9,"98.0%
2/141
Statistics, Probability and Uncertainty",1406,157,83,5.219,9.257,Princeton University Press,0003486X
IEEE Transactions on Mobile Computing,9,"93.0%
19/295
Computer Networks and Communications",7792,862,87,2.458,0.973,IEEE,15361233
Advances and Applications in Bioinformatics and Chemistry,8.9,"95.0%
2/32
Biochemistry, Genetics and Molecular Biology (miscellaneous)",124,14,71,1.323,1.386,Dove Medical Press,11786949
Applied Soft Computing Journal,8.9,"93.0%
25/364
Software",22687,2545,82,2.474,1.216,Elsevier,15684946
Information Systems,8.8,"95.0%
8/153
Hardware and Architecture",3029,346,80,2.544,0.779,Elsevier,03064379
Progress in Fractional Differentiation and Applications,8.8,"99.0%
1/137
Analysis",918,104,63,2.514,N/A,Natural Sciences Publishing,23569336
Computational and Structural Biotechnology Journal,8.7,"94.0%
7/126
Biophysics",1556,178,71,1.925,1.726,Research Network of Computational and Structural Biotechnology,00000000
"Forum of Mathematics, Pi",8.7,"99.0%
1/92
Algebra and Number Theory",183,21,90,5.648,N/A,Cambridge University Press,00000000
Computer Methods in Applied Mechanics and Engineering,8.6,"97.0%
2/68
Computational Mechanics",14419,1678,82,2.085,2.996,Elsevier,03742830 00457825
IEEE Circuits and Systems Magazine,8.6,"92.0%
43/590
Computer Science Applications",523,61,72,2.365,0.743,IEEE,1531636X
Journal of Environmental Informatics,8.6,"95.0%
9/200
General Environmental Science",667,78,95,1.185,2.1,International Society for Environmental Information Sciences,17262135
Soft Robotics,8.6,"94.0%
8/126
Biophysics",1164,135,72,2.465,2.093,Mary Ann Liebert,21695172
Energy,8.5,"98.0%
5/300
Civil and Structural Engineering",60272,7074,84,1.842,2.048,Elsevier,03605442
Foundations and Trends in Networking,8.5,"92.0%
22/295
Computer Networks and Communications",85,10,90,2.202,1.27,Now Publishers Inc.,1554057X
IEEE Transactions on Cloud Computing,8.5,"94.0%
9/153
Hardware and Architecture",1697,199,89,2.727,0.921,IEEE,21687161
IEEE Transactions on Computers,8.5,"93.0%
10/153
Hardware and Architecture",7603,897,84,2.37,0.831,IEEE,00189340
Artificial Intelligence Review,8.4,"99.0%
2/780
Language and Linguistics",1250,149,83,3.686,1.055,Springer Nature,02692821
Computer Communication Review,8.4,"92.0%
23/295
Computer Networks and Communications",1829,219,71,2.969,0.814,ACM,01464833
Decision Support Systems,8.4,"99.0%
3/283
Arts and Humanities (miscellaneous)",3727,444,82,2.571,1.536,Elsevier,01679236
Environmental Modelling and Software,8.4,"95.0%
6/124
Environmental Engineering",8390,993,83,2.05,1.732,Elsevier,13648152
Swarm and Evolutionary Computation,8.4,"99.0%
3/344
General Mathematics",2072,247,83,2.939,1.278,Elsevier,22106502
ACM Transactions on Interactive Intelligent Systems,8.3,"92.0%
8/101
Human-Computer Interaction",846,102,69,3.593,0.715,ACM,21606455
Vascular Cell,8.3,"92.0%
24/295
Computer Networks and Communications",132,16,75,1.013,1.118,Springer Nature,2045824X
Information Processing and Management,8.2,"97.0%
5/219
Library and Information Sciences",2427,295,86,3.06,1.043,Elsevier,03064573
International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,8.2,"93.0%
11/153
Hardware and Architecture",1772,215,86,2.148,0.646,,00000000
npj Computational Materials,8.2,"98.0%
4/273
Modeling and Simulation",1333,163,71,2.424,3.462,Springer Nature,00000000
Robotics and Computer-Integrated Manufacturing,8.2,"98.0%
4/344
General Mathematics",3225,395,87,2.94,1.405,Elsevier,07365845
Geoscientific Model Development,8.1,"98.0%
5/273
Modeling and Simulation",7366,913,79,1.814,3.164,Copernicus,1991959X
GigaScience,8.1,"96.0%
3/67
Health Informatics",2503,308,69,2.143,4.726,Oxford University Press,00000000
IEEE Transactions on Vehicular Technology,8.1,"97.0%
3/123
Aerospace Engineering",28191,3477,78,2.34,1.089,IEEE,00189545
IEEE Transactions on Emerging Topics in Computing,8,"95.0%
3/58
Computer Science (miscellaneous)",1455,183,83,1.955,0.659,IEEE,21686750
Neurocomputing,8,"91.0%
51/590
Computer Science Applications",42945,5338,83,1.864,0.996,Elsevier,09252312
ACM Transactions on Computer Systems,7.9,"96.0%
7/211
General Computer Science",317,40,80,3.204,0.537,ACM,07342071
ACM Transactions on Intelligent Systems and Technology,7.9,"91.0%
10/118
Theoretical Computer Science",2264,287,75,2.321,0.708,ACM,21576904
Information and Software Technology,7.9,"91.0%
53/590
Computer Science Applications",4336,547,82,3.085,0.615,Elsevier,09505849
Information Systems Research,7.9,"97.0%
7/219
Library and Information Sciences",1515,191,85,1.973,3.476,Institute for Operations Research and the Management Sciences,10477047
International Journal of Intelligent Systems,7.9,"92.0%
9/118
Theoretical Computer Science",2269,286,77,2.077,1.297,Wiley-Blackwell,08848173
Journal of Manufacturing Systems,7.9,"94.0%
19/335
Industrial and Manufacturing Engineering",3108,395,81,2.354,1.592,Elsevier,02786125
Proceedings of the Annual ACM Symposium on Theory of Computing,7.9,"89.0%
37/364
Software",3191,406,79,3.454,2.322,,07378017
Future Generation Computer Systems,7.8,"91.0%
13/153
Hardware and Architecture",11086,1418,86,2.647,0.835,Elsevier,0167739X
Ad Hoc Networks,7.7,"91.0%
14/153
Hardware and Architecture",4804,620,83,2.03,0.648,Elsevier,15708705
Artificial Intelligence,7.7,"99.0%
3/780
Language and Linguistics",2244,290,84,2.926,1.008,Elsevier,00043702
Computer Physics Communications,7.7,"92.0%
17/217
General Physics and Astronomy",8470,1105,77,1.889,1.262,Elsevier,00104655
Human-Computer Interaction,7.7,"94.0%
12/221
Applied Psychology",449,58,83,2.422,0.531,Taylor & Francis,07370024
Proceedings of the ACM SIGMOD International Conference on Management of Data,7.7,"90.0%
28/287
Information Systems",5742,746,78,2.952,1.11,,00000000
Signal Processing,7.7,"92.0%
19/239
Control and Systems Engineering",10872,1420,84,2.033,0.905,Elsevier,01651684
Computers in Industry,7.6,"96.0%
9/283
General Engineering",2940,388,76,2.587,1.242,Elsevier,01663615
Egyptian Informatics Journal,7.6,"96.0%
6/151
Management Science and Operations Research",728,96,82,3.01,0.653,Cairo University,11108665
Information Systems Frontiers,7.6,"91.0%
11/118
Theoretical Computer Science",2249,297,90,2.201,0.797,Springer Nature,13873326
Integrated Computer-Aided Engineering,7.6,"92.0%
10/122
Computational Theory and Mathematics",825,109,78,1.533,0.818,IOS Press,10692509
International Journal of Human Computer Studies,7.6,"98.0%
13/1179
Education",2364,311,85,2.305,0.688,Elsevier,10715819
Journal of Cheminformatics,7.6,"96.0%
8/219
Library and Information Sciences",2109,279,76,1.464,1.499,Chemistry Central,17582946
Nonlinear Analysis: Hybrid Systems,7.6,"98.0%
3/137
Analysis",1959,257,84,2.05,2.019,Elsevier,1751570X
Nonlinear Dynamics,7.6,"99.0%
1/93
Ocean Engineering",21025,2782,79,1.706,1.379,Springer Nature,0924090X
Advanced Engineering Informatics,7.5,"89.0%
31/287
Information Systems",2312,307,76,2.47,1.091,Elsevier,14740346
"Engineering Science and Technology, an International Journal",7.5,"99.0%
1/83
Fluid Flow and Transfer Processes",4188,556,78,2.483,0.765,Elsevier,00000000
Journal of Materials Processing Technology,7.5,"94.0%
20/335
Industrial and Manufacturing Engineering",13247,1771,86,2.888,1.719,Elsevier,09240136
Proceedings of the VLDB Endowment,7.5,"95.0%
9/211
General Computer Science",5665,756,74,2.818,0.76,,21508097
Electronic Markets,7.4,"95.0%
27/617
Economics and Econometrics",727,98,98,2.157,0.905,Springer Nature,10196781
European Journal of Operational Research,7.4,"97.0%
6/273
Modeling and Simulation",20336,2754,83,2.523,2.205,Elsevier,03772217
Foundations and Trends in Databases,7.4,"95.0%
10/211
General Computer Science",52,7,86,3.749,0.743,Now Publishers Inc.,19317883
Foundations and Trends in Systems and Control,7.4,"98.0%
2/97
Control and Optimization",96,13,69,4.108,2.875,Now Publishers Inc,23256818
Robotics and Autonomous Systems,7.4,"98.0%
5/344
General Mathematics",5488,745,82,2.198,0.831,Elsevier,09218890
IEEE Transactions on Human-Machine Systems,7.3,"95.0%
2/37
Human Factors and Ergonomics",2408,328,82,2.24,0.842,IEEE,21682291
Journal of the Association for Information Science and Technology,7.3,"96.0%
9/219
Library and Information Sciences",5354,735,81,2.144,1.443,Wiley-Blackwell,23301635
Proceedings of the ACM Conference on Computer and Communications Security,7.3,"89.0%
30/295
Computer Networks and Communications",5983,815,59,3.776,1.026,,00000000
Scientific data,7.3,"98.0%
15/1179
Education",4820,663,69,2.832,3.007,Springer Nature,00000000
ACM Transactions on Mathematical Software,7.2,"97.0%
14/482
Applied Mathematics",1022,141,73,2.873,1.137,ACM,00983500
CAD Computer Aided Design,7.2,"93.0%
22/335
Industrial and Manufacturing Engineering",2866,397,79,2.268,1.302,Elsevier,00104485
Journal of the Association of Information Systems,7.2,"89.0%
64/590
Computer Science Applications",915,127,79,1.801,1.818,Association for Information Systems,15369323
Neuroinformatics,7.2,"88.0%
34/287
Information Systems",830,115,77,1.785,1.988,Springer Nature,15392791
PLoS Computational Biology,7.2,"97.0%
7/273
Modeling and Simulation",16656,2300,79,1.408,2.949,Public Library of Science,1553734X
Cognitive Computation,7.1,"89.0%
65/590
Computer Science Applications",1958,276,79,1.965,1.06,Springer Nature,18669956
Communications in Nonlinear Science and Numerical Simulation,7.1,"97.0%
8/273
Modeling and Simulation",9499,1332,83,1.84,1.326,Elsevier,10075704
IEEE Transactions on Visualization and Computer Graphics,7.1,"90.0%
8/77
Computer Graphics and Computer-Aided Design",6132,860,84,2.619,0.957,IEEE,10772626
ISA Transactions,7.1,"98.0%
3/126
Instrumentation",7142,1007,81,1.878,1.163,Instrument Society of America,00190578
Journal of Machine Learning Research,7.1,"97.0%
6/223
Statistics and Probability",6347,891,72,2.354,1.426,MIT Press,15324435
Computers and Operations Research,7,"96.0%
9/273
Modeling and Simulation",6415,913,81,2.354,1.859,Elsevier,03050548
Digital Communications and Networks,7,"88.0%
35/299
Computer Networks and Communications",767,110,88,1.811,0.49,Chongqing University of Posts and Telecommunications,24685925
IEEE Signal Processing Letters,7,"96.0%
16/482
Applied Mathematics",11293,1604,79,1.983,0.785,IEEE,10709908
Journal of Management Information Systems,7,"94.0%
9/151
Management Science and Operations Research",1189,169,81,1.991,2.388,Taylor & Francis,07421222
Advances in Nonlinear Analysis,6.9,"97.0%
4/137
Analysis",722,104,84,3.231,3.215,Walter de Gruyter,21919496
Computer Vision and Image Understanding,6.9,"86.0%
51/364
Software",3604,526,80,2.039,0.766,Elsevier,10773142
IEEE/ACM Transactions on Audio Speech and Language Processing,6.9,"96.0%
2/42
Acoustics and Ultrasonics",4493,654,80,2.428,1.045,IEEE,23299290
Journal of Artificial Intelligence and Soft Computing Research,6.9,"96.0%
10/273
Modeling and Simulation",385,56,95,4.154,0.351,Walter de Gruyter,20832567
Journal of Chemical Information and Modeling,6.9,"95.0%
11/219
Library and Information Sciences",6756,978,83,1.192,1.446,American Chemical Society,15499596
ACM Transactions on Computer-Human Interaction,6.8,"86.0%
14/101
Human-Computer Interaction",955,141,79,2.435,0.523,ACM,10730516
Advances in Engineering Software,6.8,"96.0%
11/283
General Engineering",3553,525,77,2.393,1.002,Elsevier,09659978
Communications of the ACM,6.8,"94.0%
13/211
General Computer Science",3704,541,63,3.598,0.715,ACM,00010782
Empirical Software Engineering,6.8,"85.0%
52/364
Software",2005,293,86,3.021,0.62,Springer Nature,13823256
Engineering Applications of Artificial Intelligence,6.8,"90.0%
66/669
Electrical and Electronic Engineering",5538,809,83,1.908,0.881,Elsevier,09521976
IEEE/ACM Transactions on Networking,6.8,"90.0%
67/669
Electrical and Electronic Engineering",6217,909,78,2.238,1.009,IEEE,10636692
IEEE Systems Journal,6.8,"88.0%
79/675
Electrical and Electronic Engineering",5743,847,78,2.422,0.824,IEEE,19328184
Operating Systems Review (ACM),6.8,"88.0%
35/295
Computer Networks and Communications",365,54,61,2.166,0.353,,01635980
Foundations of Computational Mathematics,6.7,"96.0%
5/137
Analysis",1091,164,82,2.413,1.569,Springer Nature,16153375
IEEE Transactions on Network and Service Management,6.7,"89.0%
74/669
Electrical and Electronic Engineering",2147,320,78,2.589,0.846,IEEE,19324537
Journal of Biomedical Informatics,6.7,"91.0%
6/67
Health Informatics",5149,766,81,1.813,1.023,Elsevier,15320464
Journal of Systems and Software,6.7,"86.0%
38/287
Information Systems",5552,828,82,2.501,0.55,Elsevier,01641212
Pervasive and Mobile Computing,6.7,"87.0%
74/597
Computer Science Applications",3065,457,80,1.652,0.461,Elsevier,15741192
Foundations and Trends in Signal Processing,6.6,"83.0%
17/101
Signal Processing",66,10,80,5.475,1.368,Now Publishers Inc.,19328346
Fuzzy Sets and Systems,6.6,"98.0%
1/28
Logic",5229,797,80,1.934,1.347,Elsevier,01650114
Journal of Informetrics,6.6,"94.0%
12/219
Library and Information Sciences",2191,332,83,1.881,1.952,Elsevier,17511577
Journal of Intelligent Manufacturing,6.6,"92.0%
27/335
Industrial and Manufacturing Engineering",2704,407,90,2.028,1.389,Springer Nature,09565515
Proceedings - IEEE INFOCOM,6.6,"93.0%
14/211
General Computer Science",10562,1603,78,1.716,0.849,,0743166X
Annual Review of Statistics and Its Application,6.5,"97.0%
4/141
Statistics, Probability and Uncertainty",470,72,72,2.504,3.076,Annual Reviews Inc.,23268298
Annual Reviews in Control,6.5,"87.0%
30/239
Control and Systems Engineering",987,151,76,2.648,1.324,Elsevier,13675788
Data Mining and Knowledge Discovery,6.5,"87.0%
74/590
Computer Science Applications",1336,206,72,2.803,0.909,Springer Nature,13845810
Foundations and Trends in Human-Computer Interaction,6.5,"87.0%
76/590
Computer Science Applications",84,13,77,3.883,0.41,Now Publishers Inc.,15513955
Journal of Optical Communications and Networking,6.5,"86.0%
39/295
Computer Networks and Communications",4189,644,81,1.519,0.711,Optical Society of America,19430620
mSystems,6.5,"96.0%
11/273
Modeling and Simulation",1452,224,76,1.56,2.979,American Society for Microbiology,00000000
ACM Transactions on Management Information Systems,6.4,"93.0%
15/211
General Computer Science",392,61,77,1.702,0.637,ACM,2158656X
Computers and Structures,6.4,"95.0%
12/273
Modeling and Simulation",4536,709,84,2.008,1.543,Elsevier,00457949
IEEE Intelligent Systems,6.4,"86.0%
41/295
Computer Networks and Communications",1546,240,72,2.268,0.941,IEEE,15411672
Industrial Management and Data Systems,6.4,"95.0%
3/57
Industrial Relations",2498,388,78,1.782,1.137,Emerald,02635577
International Journal of Artificial Intelligence in Education,6.4,"97.0%
26/1179
Education",829,130,94,2.57,0.863,Springer Nature,15604292
Journal of Grid Computing,6.4,"85.0%
42/295
Computer Networks and Communications",848,133,77,1.966,0.688,Springer Nature,15707873
IET Control Theory and Applications,6.3,"97.0%
3/97
Control and Optimization",7771,1233,78,1.312,1.363,Institution of Engineering and Technology,17518644
International Journal of Fatigue,6.3,"95.0%
13/273
Modeling and Simulation",8730,1394,83,2.486,2.059,Elsevier,01421123
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",6.3,"98.0%
6/344
General Mathematics",8472,1349,92,1.322,0.948,The Royal Society,1364503X
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),6.3,"83.0%
60/364
Software",1320,209,81,2.288,0.571,,00000000
Social Science Computer Review,6.3,"98.0%
7/648
Law",1143,182,79,1.869,1.421,SAGE,08944393
Applied and Computational Harmonic Analysis,6.2,"96.0%
19/482
Applied Mathematics",1061,170,85,1.995,1.317,Elsevier,10635203
Artificial Intelligence in Medicine,6.2,"84.0%
34/214
Medicine (miscellaneous)",1421,231,86,1.803,1.025,Elsevier,09333657
Computers and Security,6.2,"98.0%
8/648
Law",3345,543,77,2.48,0.667,Elsevier,01674048
